,메뉴,링크
0,메일,https://mail3.nate.com/#index
1,뉴스,//news.nate.com/
2,판,https://pann.nate.com/
3,AI챗beta,https://m.nate.com/aichat.html
4,TV,https://tv.nate.com/
5,툰앤북,https://toonnbook.nate.com/
6,운세,https://fortune.nate.com/home/main.nate
7,게임,http://game.nate.com/
8,쇼핑,//shopping.nate.com/
9,팀룸,https://nateonweb.nate.com/teamroom/
10,네이트뷰,https://view.nate.com/
11,날씨,//news.nate.com/Weather
12,스포츠,//sports.news.nate.com/
13,연예,//news.nate.com/ent/index
14,아이돌24,//news.nate.com/ent/idol24
15,랭킹뉴스,//news.nate.com/rank/interest
16,톡톡,https://pann.nate.com/talk
17,판포토,https://pann.nate.com/talk/imageTheme/index
18,팬톡,https://pann.nate.com/fantalk
19,네이트온,//nateonweb.nate.com/
20,네이트캐쉬,//cash.nate.com/center/cashMain.sc
21,문자메시지,https://sms.nate.com/
22,주소록,https://mail.nate.com/pims/
23,컬러링,//mobile.nate.com/
24,이슈UP추천,//editor.nate.com/
